A,B,mean(A),mean(B),diff,se,T,df,pval,hedges
미국,일본,0.004402011578890222,0.006683641032734822,-0.0022816294538446002,0.00011237936369124466,-20.30292198586598,3648.0668360540667,0.0,-0.5924679051109365
일본,중국,0.006683641032734822,0.004407491237758821,0.0022761497949760016,9.982293905440691e-05,22.801871158446076,6198.033063910061,0.0,0.5752766359211331
영국,일본,0.004255817842294505,0.006683641032734822,-0.002427823190440317,0.00016040794819874847,-15.135304813151768,878.1868706598426,0.0,-0.6294188081203651
독일,일본,0.00409707272613083,0.006683641032734822,-0.0025865683066039922,0.00014429813720180429,-17.92516768935566,915.0100389656548,1.2589929099249275e-13,-0.6818324368397913
대만,일본,0.004182005485115997,0.006683641032734822,-0.0025016355476188256,9.511603874981495e-05,-26.300880277393727,5448.222266311041,2.8199664825478976e-13,-0.6878603247889866
베트남,일본,0.004166771838649034,0.006683641032734822,-0.002516869194085789,0.00013681404354488503,-18.396278107664227,1774.2223431682964,3.4716673980028645e-13,-0.6463198918551082
일본,태국,0.006683641032734822,0.004204759929843098,0.0024788811028917243,0.00010575508669641134,23.439828573048125,2816.7298257771236,3.927969061123804e-13,0.6795375838530261
싱가포르,일본,0.003593432761817326,0.006683641032734822,-0.0030902082709174964,0.00010178786970599717,-30.35929801697605,3331.880446896247,9.977574322306282e-13,-0.8538288077113226
일본,홍콩,0.006683641032734822,0.004143825829065315,0.0025398152036695074,0.00011277223802304815,22.521635184276693,3205.0615647689197,1.8421930647605222e-12,0.6708827979421615
싱가포르,중국,0.003593432761817326,0.004407491237758821,-0.0008140584759414949,0.00010577678109208596,-7.6960034852336925,3502.623549391041,2.2652990594451694e-12,-0.22163147487207016
미국,싱가포르,0.004402011578890222,0.003593432761817326,0.0008085788170728962,0.00011769974358677368,6.869843488459043,3025.0344410382136,3.5158487232678226e-10,0.24142034186435082
대만,싱가포르,0.004182005485115997,0.003593432761817326,0.0005885727232986708,0.00010134677638780394,5.807513018929131,3036.4033508694106,3.1328514349393544e-07,0.19349480611229802
싱가포르,태국,0.003593432761817326,0.004204759929843098,-0.0006113271680257722,0.00011139230951420621,-5.488055420449,2400.865691251241,2.00174797226893e-06,-0.22257623366896695
싱가포르,홍콩,0.003593432761817326,0.004143825829065315,-0.000550393067247989,0.00011807491658040781,-4.661388575897718,2769.449539858447,0.0001421958368812426,-0.17358841976819936
베트남,싱가포르,0.004166771838649034,0.003593432761817326,0.0005733390768317076,0.0001412168218302796,4.0599913622243315,1831.0144062984386,0.002075721103294015,0.17460858805177135
싱가포르,영국,0.003593432761817326,0.004255817842294505,-0.0006623850804771793,0.00016417922554962794,-4.0345243331468525,939.1648476561012,0.002384076400309576,-0.21901938889660777
독일,싱가포르,0.00409707272613083,0.003593432761817326,0.0005036399643135042,0.0001484791589976653,3.391990954915252,984.7711745000745,0.025013782587415267,0.17788192702592218
